time,chapter,transcript
00:00:00,Dr. Sara Gottfried,[Music] welcome to the huberman lab guest Series where I and an expert guest discuss science and science-based tools for everyday life I'm Andrew huberman and I'm our professor of neurobiology and Ophthalmology at Stanford School of Medicine today's episode is the third in the sixth episode series on fitness exercise and performance today's episode is all about endurance and fat loss that is the specific protocols required to achieve the four different kinds of endurance and how to maximize fat loss Dr Andy Galpin great to be back today we're going to talk about endurance and I'm very interested in this conversation because I like many other people strive to get a certain amount of cardiovascular work in each week maybe a long-ish jog maybe a swim ride the bike Etc but when I think about the word endurance the idea that almost immediately comes to mind is about doing something for a long period of time repeatedly but I have a feeling that there are other ways to trigger this adaptation that we call the endurance adaptation so I'm excited to learn about that I'm also excited to learn about the fuel systems in the body that allow for endurance and other modes of repeated activity so in order to kick things off I'd love for you to frame the conversation by telling us what is endurance and are there indeed a large variety of ways to induce what we call this endurance adaptation sure the way I want to start actually here is is calling back to some of the things we talked about our previous conversations which are really people exercise for three reasons number one you want to feel better number two you want to look a certain way and then number three you want to be able to do that for a long time right so you need the way that we say it in sports is look good feel good play good right so I want some sort of functionality to be able to perform a certain way whatever that is for you you want to be able to look a certain way that whatever that matters for you and then you want to be able to do that for a long time so when it comes to endurance we have a bunch of misnomers here which is the same thing with the strength training and resistance exercise side where we wanted to dispel this myth that I lift weights only because I I want to gain muscle or play a sport and I want to do cardio because I want to leave their loose fat or for long Health sake and just like we smashed that myth from the strength training side I want to smash it from the endurance training side there are so many other reasons that you want to perform endurance training regardless of your goal right whether it is longevity whether it is performance or whether it is Aesthetics and so we're gonna I want to cover all those reasons uh exactly what to do Protocols of course and why those things are working that way in general though the quick answer is really endurance comes down to two independent factors Factor number one is fatigue management and then Factor number two is fueling and that's all it really comes down to so all the different types of training are going to reach a limitation which are either again your ability to deal with some sort of fatigue and that's generally a fatigue signal the other one is managing some sort of restriction of energy input and a lot of the spoiler here is a lot of the times people think it's a fueling issue and really it's a fatigue management issue or the opposite and to have a complete Health Spectrum regardless of whether you're a high performance athlete like I typically deal with or general public you need to be able to do both manage fatigue as well as understand fuel storage so that's really what we're going to get into today fantastic I can't wait before we dive in I'm going to ask you what I often ask people who are expert in their respective fields which is is there any non-obvious tool or mechanism or tool end mechanism that can allow people to access better endurance you know when I
00:03:51,"ROKA, Thesis, LMNT, Momentous",think about training for endurance again I think about trying to run longer and longer each week yeah or Swim further and further and so on but I do wonder whether or not there are other forms of training that can amplify the endurance adaptation that I or most people perhaps don't think of as endurance sure the way I want to answer this is if we look back and think about how we've answered that question with power and strength in force production it is really about how much can you produce maximally once what you're asking now is how can I repeat that same quality of performance if that's the case endurance really comes down to your ability to maintain proper mechanics that's going like the biggest way we can and increase your endurance exponentially very quickly is mechanical and this is starting with breathing and so we need to be breathing properly we need to have proper posture and positions and then we need to be moving well efficiency is going to Trump Force always for endurance the other side of the equation is not that you can have a little bit of leaks in your mechanics and still squat well or jump high and be fine because you don't have to suffer those consequences repeatedly right that's going to drain you over time so the quickest way to improve endurance is to improve mechanics and the mechanical thing I would go after first is your breathing techniques your pattern your entire approach as well as your posture and then from there the third one would be your movement technique is it possible to describe the best way to breathe when doing an endurance training or is it far more complex than that and if it is far more complex than that then certainly we can get into it during today's episode yeah it is both of those I will give you a quick answer though a lot of the times you can kind of Hit the cheat code which is nasal breathing there's plenty of times when you don't want to nasal breathe you don't need your nasal breathe but just again is that like a one tool that is a for a pretty General answer if you can do that a lot of the times that will fix breathing mechanics just by default and we can maybe talk about why that is later but that would be my sort of one sentence bullet point answer immediately of how to get in the right positions the second one would be simply looking at your posture right so whether you're on a bike or you're doing a lift or you're running if you're literally uh hunched over and your ribs are touching your femur or getting closer and closer like tends to happen on a bike or an air assault thing for somebody I've seen recently this morning I was on the assault bike um doing a Sprint and I asked Andy Dr Galpin to critique my form and anything else he wanted to critique so that I could improve and he did comment on my rather c-shaped posture correct um encouraging me to be more upright which I should probably do now as well and he also cued me to the fact that during a one minute Sprint there is something that is quote unquote magic that happens right about the 42nd Mark and I use that as a um as a milestone uh to look for and indeed something does happen at the 42nd it's into a one minute Sprint where all of a sudden it it does seem to get much easier for reasons I don't understand maybe you can to tell it that but it certainly had nothing to do with my posture my posture needs Improvement thank you well yeah so um breathing mechanics and breathing strategies uh people tend to be over breathing early on and this is going to lead to problems later so having a more strategic breathing pattern and approach is again a very quick solution I know that we're going to dive very deep into the mechanisms of Energy and Metabolism and endurance today but as long as we're having a discussion about these um briefs or tidbits of how to improve endurance are there any other ways to improve endurance that that are of relatively short time investment even if they require a lot of um energy sure the classic Paradigm you're going to find here is steady state long
00:07:50,"Women, Family History, Heredity & Environment",duration posed up against what a lot of folks will now call higher intensity interval training specifically and there's a lot of misconceptions here the quick answer is you need to be doing both and there's probably a bunch of stuff in between that you should be practicing if you honestly want to maximize those three factories we talked about at the beginning you need to be training across this full spectrum just like I told you to train across the full spectrum of your lifting we want to be doing the same thing here so are there independent special factors that can happen with the shorter time length higher intensity stuff absolutely there's also magic that happens on the other end of that Spectrum so it's very important that people don't just choose one side because what tends to happen is people either go with the oh I'm going to do 30 or 45 minutes of steady state stuff that's it or I'm gonna do the opposite which I'm going to leave that stuff on the table not do it because I only want to do high intensity intervals because I can get it done in five minutes so there's Magic on both sides of the equation we want to get into all that but just to answer your question directly there's a whole bunch of of things you can do um in under one minute that are convenient to do and there's a wonderful set of papers out of a couple Laboratories in Canada that that championed this idea that's called exercise snacks so there's a bunch of there's a series of studies that have been done here that are really interesting and they've looked at a couple of things that are noteworthy one of them is a 20-second bout of all out work and this is actually done in workers in an office and so what they have them do is run upstairs and I believe it was about 60 steps is what it took them something along the order of 20 seconds exactly and they repeated that about once every four hours so really it's you go to work you get you know put your coffee and your bag down whatever you run up a flight of stairs 20 seconds later then you go right back to work at lunch and before you go home you sort of repeat it there and if you repeat that that's multiple times a week you're going to do that I think they in one of the interventions it was three times a week for six weeks 18 total times you did that and what you'll see is a noticeable Improvement this is statistically significant improvements in cardiorespiratory Fitness specifically VO2 max as well as a number of cognitive benefits work productivity Etc that can happen in as little as 20 seconds you don't have to go to the gym you don't have to shower you don't have to do anything like that just find the stairs run up and down them a few times now you may have noticed um you actually sort of caught me yesterday I did that right here right I was just I we had a little bit of a break I was feeling an energy lull I ran up the stairs three or four times felt a lot better so that can actually also help they ran another study where they looked at that following a giant high glycemic index meal and what they saw and then they took insulin measures and a whole bunch of um other biological markers Associated that you want to pay attention to the high glycemic index meal and they looked at those immediately an hour three hours six hours as opposed and it was very clear that same intervention was able to improve post-planned yell glucose control insulin and a whole bunch of other factors in addition to that so if you are the sort of type who's like wow I'm in an office all day maybe also had
00:11:00,"Puberty, Stress, Menstrual Cycles, Intrauterine Devices (IUDs)",a giant high glycemic index meal not the best approach but a little bit of mitigation there can just be running up a flight of stairs or doing something like that for as little as 20 seconds so there's a lot of magic and power and maximal exertion if one does not have access to a flight of stairs at work could they do jumping jacks absolutely I mean you could do anything you really wanted it's not the mode of exercise that matters here it is simply the exertion you just get up as hard as you can you could do burpees you could do any number of things you could Sprint down your road down the hallway back and forth the mode is is just uh something that was easy for the scientists to control and X number of steps people could do it you're not going to fall hurt yourself things like that just to remind me it's once every four hours one minute of all 20 seconds oh 20 seconds excuse me uh 20 seconds of essentially all out exertion yep while remaining safe not going so fast up the stairs or doing jumping jacks certainly not down the stairs up the stairs please um escalators don't count well I suppose they count if they're uh you know if you're if you're moving uh if you're not remaining on the same steps um in fact in an airport recently I saw somebody walking against the oh there you go the conveyor yeah while talking on the phone while waiting for their flight to take off and I thought it's genius right it looked a little awkward who cares yeah but it was I have looked awkward in every airport I've been in for the last 15 years for those exact reasons doing wild stuff like that yeah well nothing's more Awkward than not being able to walk to the end of the terminal simply because one isn't familiar with walking that far carrying a couple of suitcases there you go yeah that's the the other fit test the suitcase carrier yeah I'm in the airport I love this so once every four hours 20 seconds so maybe once when arriving to work once four hours in and then four hours most people probably work somewhere you know eight plus or minus two hours now one thing I actually really want to make clear because your audience is so incredible um they tend to be really excited about these protocols and they follow them exactly as written that's not exactly how science works so it doesn't necessarily have to be every four hours it's in half three three times a day it doesn't have to be 20 seconds they literally built that protocol because it was so they're trying to replicate a real life scenario maybe you're in an office building you're generally there for eight hours Let's see if you did one every sort of so if you want to do it four times a week great if you can do it only 10 seconds amazing you're probably going to get the same benefits those are not the details to pay attention to the detail to pay attention to is every so often multiple times a day try to get your heart rate up really quickly it doesn't require sweating doesn't require anything else there's no warm-up associated with it again you need a minute break in between meetings or whatever and you can Sprint up them I do this all the time in my house when you you know have those days when you're on like seven straight hours of zooms Etc you can get out of 20 seconds I run to my garage which is over there I hop on the the airbike and I will just smash out 30 seconds as fast as I can and then walk right back in love it yeah I'm gonna start yeah just also you can just put one of those things which I do also just put one in your office and hop over right over there you know the whole entire thing now literally takes 23 seconds before we begin I'd like to emphasize that this podcast is separate from my teaching and research roles at Stanford it is also separate from Dr Andy galpin's teaching and research roles at Cal State Fullerton it is however part of our desire and effort to bring zero cost to Consumer information about science and science related tools to the general public in keeping with that theme we'd like to thank the sponsors of today's podcast our first sponsor is momentous momentous makes supplements of the absolute highest quality the huberman Lab podcast is proud to be partnering with momentous for several important reasons first of all as I mentioned their supplements are of extremely high quality second of all their supplements are generally in single ingredient formulations if you're going to develop a supplementation protocol you're going to want to focus mainly on using single ingredient formulations with single ingredient formulations you can devise the most logical and effective and cost-effective supplementation regimen for your goals in addition momentous supplement ship internationally and this is of course important because we realize that many of the huberman Lab podcast listeners reside outside the United States if you'd like to try the various supplements mentioned on the huberman Lab podcast in particular supplements for Hormone Health for Sleep optimization for Focus as well as a number of other things including exercise recovery you can go to live momentous spelled ous so that's livemomentis.com huberman today's episode is also brought To Us by levels levels is a program that lets you see how different foods and activities affect your health by giving you real-time feedback on your blood glucose using a continuous glucose monitor many people are aware that their blood sugar that is their blood glucose level is critical for everything from Fat Loss to muscle gain to healthy cognition and indeed aging of the brain and body most people do not know however how different foods and different activities including exercise or different temperature environments impact their blood glucose levels and yet blood glucose is exquisitely sensitive to all of those things I first started using levels about a year ago as a way to understand and how different foods exercise and timing of food relative to exercise and quality of sleep at night impact my blood glucose levels and I've learned a tremendous amount from using levels it's taught me when best to eat what best to eat when best to exercise how best to exercise and how to modulate my entire schedule from work to exercise and even my sleep so if you're interested in learning more about levels and trying a continuous glucose monitor yourself go to levels.link huberman that's levels dot link slash huberman today's episode is also brought To Us by element element is an electrolyte drink that contains the exact ratios of the electrolyte sodium magnesium and potassium to optimize cellular functioning for mental and physical performance most people realize that hydration is key we need to ingest enough fluids in order to feel our best and perform our best but what most people do not realize is that the proper functioning of our cells and nerve cells neurons in particular requires that sodium magnesium and potassium be present in the correct ratio goes now of course people with pre-hypertension and hypertension need to be careful about their sodium intake but what a lot of people don't realize is that if you drink caffeine if you
00:17:26,"Tool: Sex Hormones, Microbiome, Estrobolome & Disease; Biomarker Testing",exercise and in particular if you're following a very clean diet that is not a lot of processed foods which of course is a good thing chances are you're not getting enough sodium potassium and magnesium to optimize mental and physical performance element contains a science-backed ratio of 1 000 milligrams that's one gram of sodium 200 milligrams of potassium and 60 milligrams of magnesium and no sugar if you'd like to try element you can go to drink element that's lmnt.com huberman to get a free element sample pack with your purchase again that's drink element lmnt.com huberman to claim a free sample pack so tell me about endurance what is endurance how do I get more endurance and how does it work when we think about endurance I would like to open up the conversation to include more things than people generally do when they hear the word endurance so if we just think about what you typically ask your body to do or would like to ask your body to do and we just walk through them it's going to be things like this number one I want to have energy throughout the day that's actually a form of endurance great I don't want to have these lulls and fatigue and I want to feel fantastic as I move throughout my activities of daily living whatever those may be work exercise enjoyment paying attention focus all that stuff great that's one thing another thing you want to ask your body to do is I want to be able to repeat some small effort in a muscle group and not and feel great about that this is what we generally call muscular endurance so this is something like I want to be able to walk up those 10 flights of steps and my quads aren't burning at the end of it right or it even gives me energy another thing you'll want to ask your body to do is to be able to perform a tremendous amount of work for a longer period of time something in the realm of you know 20 to 80 seconds so this could be something like if you're surfing and you've got to paddle extremely hard for a minute to get on on top of a wave or you want to you got you're out riding your bike and you need to be able to get up a hill and it's a very Steep Hill these are going to take maximal efforts for some small amount of time and then you'll get back up there we tend to call that maximum anaerobic capacity so that the max amount of work you can perform at a higher rate for some amount of seconds to like maybe a minute past that is your ability to repeat an effort kind of like that for something like 5 to 15 minutes and this example would be run a mile right some some interval like that which is a longer distance right that is going to be your maximum aerobic capacity okay another thing you're going to want your body to do is we call sustained position so this is you want to be able to sit in your chair at work and have perfect posture for 20 30 40 minutes right you want to be able to stand in line at a grocery store for 15 minutes and not have a breakdown in posture so you want to be able to maintain position when you're riding your bike you're not collapsing you're doing any of these activities and you don't get hurt or lose efficiency simply because you couldn't sustain basic positions all right whatever those shapes and positions need to be okay and then the last one is a maximum distance so you won't be able to go for a longer hike or have just a long day at Disneyland for whatever it needs to be and feel great at the end of it right so the goal with all of these things is not can you just do them but can you do them and then you feel good afterwards so we're back in a right position where they give you energy you feel good about it and it's not just something you had to do and you regretted and you felt awful so those are the factors I think about when someone says I want better endurance is I want to walk backwards and say okay when you say endurance what do you mean and that's generally the things I've come across as if you can handle all of those things you're going to feel like you're in fantastic shape you're going to feel your recovery is going to be excellent and your physical performance in the gym or in any of the sporting activities you do will be enhanced given what you told us a little bit earlier that endurance really reflects fatigue and management and energy production how do each and both of those things relate to endurance at a mechanistic level so really what I'm asking is what is fatigue management and what is energy production in order to do that it's important that we understand all of those functional capacities that I just talked about they all have different points of failure okay so in order to then work backwards and say well how do I optimize my performance in all those categories we need to go through each one and figure out where am I failing some of them are going to be failing because of fatigue management and some of them will be failing because of energy production issues so if we walk through a little bit of how we make energy and how we handle fatigue then we're going to have a better understanding of exactly what to do for each one of these categories if you feel like one of them in particular is worse for you or lagging behind or if in general you just want to improve all of them all right now I want to make a little bit of a 90 degree turn here I'm going to do it with strategy though I promise and I want to ask you a very simple question how do you lose weight I was taught that the calories in calories out thermodynamics of energy utilization governs most everything that is if I'm ingesting less caloric energy than I burn then I'm going to lose weight and if I'm ingesting exactly as much as I burn I'll maintain weight and if I ingest more then I burn then I'll gain weight sure that is the approach you would take what I'm asking really is how are you actually physically losing the weight so my understanding is that we have different fuel sources in the body glycogen which is stored in muscle and liver body fat which is sort of mainly white adipose tissue and which is subcutaneous and around our organs intra visceral fat and that we can also use protein as a fuel and then as I recall there's also a phosphocreatine system and I think you're going to tell me that each of these systems is tapped into on different time scales and perhaps according to different levels of exertion and I'm certain that what I just said is not exhaustive but hopefully it is most or entirely correct pretty correct what's that got to do with fat loss at some point body fat stores adipose adipocytes fat cells are going to start liberating fat as a fuel source and the stimulus for that I'm assuming is going to be that other fuel sources are either depleted or that the energy and metabolic systems of the body I don't want to say decide because they don't have their own Consciousness but are um our flip signals are signaling in a way that registers that body fat would be the optimal fuel source given how long or into and or intensely a given activity has been performed okay we have some stuff to clean up there but we're still not really answering the question how am I actually losing that body fat uh how is it actually leaving the body correct uh my understanding is that it leaves the body through respiration aha so now we have some interesting things to talk about how am I actually losing fat via respiration what the hell does that even mean how is something that occupied this physical space on the side of me leaving my body through my mouth and that is a very clear answer there right which I'm sure you're queued up to when you take a breath in you're generally breathing in oxygen O2 that's some other things but we'll just stick to oxygen when you exhale you're breathing out CO2 the difference between those two is that carbon molecule well one of the things that's important to
00:25:11,"Nutritional Testing; Vegetables, Microbiome & Disease",understand here is all of your carbohydrates which is that word itself is a carbon that has been hydrated so it is a carbon molecule attached to a water molecule it is a simple chain of carbons your fat molecules are also chains of carbon all of metabolism really in terms of energy production is simply trying to figure out a way to break those carbon bonds as a result we get energy from that we use that energy to create a molecule called ATP which is the central source of energy for any living being right that carbon is then floating around in free form which is bad news internally so we've got to figure out a way to get that carbon out of our system so all of energy production all of fatigue management really comes down to this core issue of how are we handling carbon and how are we moving it around the body and so what we do is we do this sneaky thing so another question I'd like to ask people is why do we breathe well for two reasons uh to bring oxygen into the system and to offload carbon dioxide but the neural trigger for breathing is when carbon dioxide hits a threshold level and the set of neurons in the brain stem and elsewhere uh activate the phrenic nerve or the gas reflex or a combination of things and we inhale or inhale right so a reduction of oxygen intake generally doesn't stimulate ventilation unless you're at altitude then that sort of changes right in general it's an elevation in CO2 that's going to stimulate breathing off the only reason you bring in O2 for the most part is to get rid of the CO2 oxygen is not a fuel source it is not a way and it works the same with fire by the way so you know you have to have oxygen present for a fire to go and if you use quelch oxygen the fire will go out right that's about half of um how those like fire extinguishers work but we think then that means oxygen is the fuel it is not the fuel it is something entirely different it is a necessary Pro it is a product that is necessary for the metabolism process to actually occur all right so we're kind of dancing around an idea here which is this carbon cycle of life so what happens in plants is they generally will breathe in the opposite and breathe out the opposite of humans so a plant will breathe in CO2 and exhale O2 all right this is why we have to have a certain amount of these things and algae and forests and trees and stuff to maintain this O2 CO2 balance in our atmosphere we do the opposite so we have this wonderful circle of life we breathe in O2 breathe out CO2 they do the opposite well what happens is because carbohydrates are long chains of carbon and fats are as well generally when we think about fats by the way it's important to understand that structure a little bit so if we think about triglycerides it is a three carbon backbone chain of glycerol so one two three and horizontally running off of each one of those are fatty acid chains right so we form this structure that looks like an e right like the letter e three in the back and then three chains coming off of it each of those chains are called fatty acids and each of those fatty acids are a length of carbon right or a number of carbons strung together however many carbons are there determines which type of fatty acid it is right so stearic acid linoleic acid like any different number of things it's also what determines whether or not it is a monounsaturated or polyunsaturated as if carbon requires a special thing called a double bond so if there's a double bond across every carbon and carbon then they're all fully saturated and you're great if there's any of them that are not double bonded and in fact an example if there is one that doesn't have a double bond that is now called Mono and saturated if there are many it is called polyunsaturated so there's pros and cons to all these things right in either case we're still talking long carbon chains so what a plant will do is bring in carbon and then it has this wonderful ability to use energy from the sun called photosynthesis and it can take those carbons that it inhales and use the energy from the Sun to form a bond now in our prior discussion when we're going over hypertrophy we talked about the energy that was required to go through protein synthesis that's because forming a new atom or a new bond between atoms oftentimes takes energy in this cases it does the same thing happens here so if a plant does not have oxygen or does not have carbon dioxide in the air it has no fuel the basically think about it is that's what it eats it needs to get nitrogen from the ground in the soil just like we need to get nitrogen from our protein but fuel wise it needs to get carbon dioxide then it needs sun to give it energy so it can actually form that Bond right that's what it's getting its fuel from all right so if we think about um a classic uh plant produce the plant that produces either a starch or a fruit here's what happens it inhales that carbon and it starts packing it away now in a root vegetable what it does is it stores those things together and if we store that thing and we grow fruit at the bottom of it we tend to call those things starches all right it's going to then take the carbon that is packed away in its root and send it up the tree and it's going to actually do that by breaking it down into a smaller form of carbohydrate that we tend to often call things like sucrose and glucose it'll ship that up the tree it'll go out to the leaves and it'll convert it into the fruit and it's going to eventually transform that stuff into smaller carbon things called fructose and if we think about the fruit are the sugar in fruit it's often in the form of fructose or sucrose or a combination and sometimes glucose so we have these smaller carbon six carbon chains generally in the form of glucose that are being made from this larger storage of uh carbohydrates that we call um starch right so it's packed in together your body does the exact same thing so if it's a potato and it has a whole bunch of glucose packed away we call that starch if it's in your quadricep and we
00:31:13,AG1 (Athletic Greens),pack about a whole bunch of glucose Away We Now call it glycogen if it's in your blood as that six carbon chain we call it glucose if it's in the tree and in the fruit we call it fructose right those are different molecules but that's effectively the same thing happens so the biology or the chemistry is almost identical it just runs in the reverse order and that's why again at tubers and potatoes and stuff tend to be starches and fruits tend to be glucose fructose of sucrose so we have this a wonderful Circle of Life the plants can survive on just breathing in the CO2 and then getting the energy from the Sun we don't have that ability at least to my knowledge to run through photosynthesis so the only way we can get carbon into our system is to actually ingest carbon which means we have to eat the starch the fruit the animal some other form of stored carbon to get that into our system we then pack that away we put the carbohydrates as you mentioned earlier either on our liver our blood or in our muscles we put the fat generally in adipose tissue we'll put a little bit in muscle cells as intramuscular triglycerides and then the
00:32:22,"Microbiome, Prebiotics & Probiotics, Inflammation",protein will use as structure right to do different things we don't like to use protein as material or fuel it's better used as structure and what we have to do then is if all of a sudden we realize that storage is getting too much in our body in other words we're gaining too much weight we have to figure out how to get the carbons out of our body and that is metabolism right anytime we're trying to break a carbon bonds though we can get energy to make ATP that's going to release the carbon out of our tissue into the blood we have to bring in oxygen to bind that carbon molecule to make CO2 so we can exhale it and put it back into the atmosphere it's a beautiful description of the circle of life and energy utilization in the human body I have to ask the question that I'm sure many people are wondering about which is if indeed we exhale these carbons and as it relates to Fat Loss that is the way that we lose fat if we're in a sub caloric state for instance has it ever been explored as to whether increasing the duration or intensity of exhales can accelerate fat loss I mean that's sort of The Logical extension of what you described and here I'm actually interested equally in whether or not the answer is yes as well as whether it could be no because I could imagine if the answer is yes well then there's some interesting protocols to emerge from that but that if it's no it will reveal to us some important bottlenecks about metabolism and energy utilization you ever seen those magicians who like show up and uh they can tell your mom's name or something like that before you because they can sort of hold you down a path yeah I mean not to take us down a deep dive tangent but I once went to the Magic Castle in Los Angeles and I was one of the people called up front and a in an incredible magician a named um I think his name was Ozzy mind or something uh I think that's right had me write my name on a card in a Sharpie pen I ripped up the card I ripped it up I put it in my pocket and at the end of the 10 or 15 minute bout of him doing a bunch of other tricks he asked me to look in my right shoe and under my foot in my right shoe was that card intact yeah and it was no longer in my pocket and I swear in my life I wasn't a a collaborator with him and to this day it still gives me chills because it well I I don't know how magic yeah right magic well the reason I say that is I've given that little Spiel and I just gave you the countless times on my glasses and I would say 99 of the time as soon as I stop the very first question is so can I just like do a bunch of exhales and lose fat which is wonderful because I was really hoping you would do that and you rolled right into my trap right you landed perfectly so I look like a like a a magician over here I feel like I should look in my right shoe right now no I asked the question because it's the logical extension of what you laid out but I know biology to be um both uh diabolical and cryptic but also Exquisite in the way that things are arranged and you don't get something for nothing there are no free passes in physiology that's the saying no free passes the answer to your question is yes 100 yes in fact that is the only way to go about it you have two options you can ingest less carbon or you can expel more carbon people always say calories in calories out it's really carbon in carbonate that's what a calorie is Right calories the amount of energy we get per breaking a carbon Bond so it's really Less in
00:36:08,"Microbiome Testing, Magnesium, Constipation & Thyroid",less more out less in is fairly obvious whether that comes in any form and by the way this is exactly why the percentage of your intake coming from fats or carbohydrate it doesn't really matter that much if you look at fat loss clinical trials you guys may have covered this when Lane was in here I'm sure like this is something he talks about a lot it doesn't matter it's irrelevant because it's not about that there's nothing magic in those things they are different they have different physiological responses everything is different right no duh but in general it's just simply about carbon intake turns out fat has a lot more carbons per mole than carbohydrates do so there's more calories per mole in there so if you the physical amount of fat needs to come in as a smaller amount physical amount of carbohydrates these are coming it will come in as a larger amount but you can play any number of very high carb low fat what matters total calories right again it's not like the only thing that matters but you know what I'm saying some percentages in the way can go fat loss Works fantastic high fat low carbohydrate why why do all these things work because that's not about that it's about total intake of carbon total Expo so absolutely can you lose fat by simply exhaling more in fact that is exactly what you did this morning when I hopped on the airline bike when you did anything right the question is can you think of a scenario in which you could have a bunch of increased rates of exhalation that helps in Fat Loss sure I can think of a lot of things that will stimulate increased rates of exhalation one thing could be simply going right and so the question is like can I literally do some breath protocols where I force exhale and lose fat and the answer is yes but what happens what happens if you do hyperventilation training well my lab studies cyclic hyperventilation is one of our many uh deliberate protocols and one of the most prominent things that one observes is that levels of adrenaline increase very quickly extremely quick people feel jittery anxious stressed and unless they are consciously trying to Anchor their thinking about what that means and the benefits that to persisting typically they abort the cyclic hyperventilation protocol really quickly within seconds right you will feel tingling sweating all kinds of things you're hyperventilating right and we could we could talk a nauseam about how that changes everything from adrenaline to focus to a whole bunch of things so unfortunately a strategy of sitting around just exhaling more than you inhale technically helps you lose more fat but it's not going to last very long so then the question is well how do I get no situation or scenario in which I can increase my rate of expiration where I'm not going to pass out I'm not going and altering hypocapny and hypercapnia issues any idea of a situation in which you would have an enhanced rate of explanation without worrying about passing out sure a steady state exercise or not steady state exercise lifting weights intervals moderate training repeated any of these things they all work equally for fat loss because all they're doing is increasing respiration rate they're saying increased demand for energy increased exhalation that's the trick here and when you equate these things to that they have equal success in fat loss it doesn't matter theoretically where you're getting it from and so when we get into this idea of well what are the best training strategies for fat loss it doesn't matter which one of these tactics you pick as long as you maintain a consistent adherence over time because of this exact fact it doesn't matter if you're burning quote unquote fat in the exercise session or if you're burning carbohydrates in the exercise session it is totally irrelevant to your net fat loss over time okay now there's some significant misconceptions there about what I just talked and I would love to come back and walk through that in more detail but that's the main take-home message here it won't matter what's coming in and it won't matter what's coming out because in either case it is the same rate of oxygen in and CO2 out that's the key metric and hopefully this helps a lot of people have some relief because they're like man you're so tied up on what is the exact protocol for training for optimizing fat loss what's the exact nutritional intervention I need for fat loss and then you wonder why all these different diets can work effectively and wonder why all these different training protocols you know surely you know somebody who lost a bunch of weight and the only thing they did is they just started running there was no Advanced protocol they just started running and they ran five miles every day that works and then tons of people who tried that and like didn't lose anything and lots of people who went to I went to cardio kickboxing class lost weight oh I just started doing intervals on my law why why mysteriously you'll do all these things work they had you have something had some spidey sense have to has to be going off in your brain where like there has to be something linking these things and what's linking it is simply carbon Exchange so put yourself in a position in which you are exhaling more than you and inhaling without passing out the other problem is if you were to Simply do a breathing protocol while the rate of exhalation would go up after that you would correct and go in the opposite direction so that's the problem is your net carbon the output over the course today is not going to change unless you increase the demand for energy and that's how you get into that negative state along these lines of exhaling carbons as the route for fat loss it makes me wonder whether or not increasing lung capacity is possible I'm guessing the answer is yes and whether or not increasing lung capacity is a good goal and route to enhancing fat loss essentially what I'm asking is if you can offload more CO2 okay carbons per exhale are you a more efficient fat loss machine it's a wonderful thought and the answer would be no not something you worry about because if you were to Exhale more
00:42:25,"Female Colonoscopy; Network Effect & Modern Medicine, Stress Factors",carbon than actually needed now we're in a state of inefficiency you're burning way more energy than needed to do your activity the heart has a metric called cardiac output this is in Sciences we abbreviate this as Q for some odd reasons it's either seal or q and cardiac output is heart rate multiplied by stroke volume so it's how many beats per minute you're having as well as how much blood's coming out of it so cardiac output is actually very specific to energy needs if you try to work around that it's just going to adjust itself so what I mean by this is if you were able to increase your stroke volumes the amount of blood coming out per pump you would automatically adjust reduce your heart rate so that you keep cardiac output exact to energetic demands so you're sort of pushing one end of this of the spectrum but your body will pull the other one back to keep you at that exact same neutral level so if you look at if you think about like cardiovascular adaptations to endurance training and any type of endurance training a common thing people will understand is resting heart rate and so what that number is is just how many beats per minute you're having when you're sitting here doing nothing a very positive adaptation is a lowering of that resting rate over time as general numbers what you will hear is people will say things like a normal resting heart rate is between 60 to 80 beats per minute and you know if any of the things I've talked about um with the individuals I work with I don't work with anybody with disease just to clarify that I don't do anything with disease management treatment anything it's always about people who are in a good spot who want to optimize or get to the next level whether this is professional athletes trying to to Peak for physical performance or uh the folks in our rapid Health optimization program that feel good again it's not disease stuff and they want to feel incredible one of the metrics we're going to pay attention to is this resting heart rate so here's what happens as you improve your endurance your resting heart rate will go down if I see somebody over 70 beats per minute um unless something's going on you're not physically fed regardless of whether or not that is quote unquote within the normative values I want to see everybody's sub 60 beats per minute or close right and that does not a difficult thing to really get to for most people so if you train a lot regardless of how you train intervals steady state doesn't matter that resting heart rate will come down but since energy demands at rest haven't really changed cardiac Alpha stays the same so what happens is stroke volume goes up so literally like we trained your quadriceps on the Legacy engine machine to get stronger so you can produce more Force per contraction the heart will do the exact same thing and so as you're able to get more of the blood out of your heart per pump
